sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
710000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,0
720000,0,beat_boundary,TEMPO,UNSUPPORTED,120,3,3,0,192,0
720000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,1
726000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,0
736000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,1
742000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,0
744000,0,beat_boundary,TEMPO,UNSUPPORTED,120,3,3,0,192,0
752000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,1
758000,0,opportunity,CUT,UNSUPPORTED,1.5,3,3,0,192,0
768000,7,accepted_control,CUT,UNSUPPORTED,4,3,3,0,192,0
768000,0,beat_boundary,TEMPO,UNSUPPORTED,120,3,3,0,192,0
768000,0,rhythm_commit,CUT,UNSUPPORTED,4,4,3,0,192,0
768000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
772500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
780000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
784500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
792000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
792000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
796500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
804000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
808500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
816000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
816000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
820500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
828000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
832500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
840000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
840000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
844500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
852000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
856500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
864000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,0
864000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
868500,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,0
