sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
852000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
864000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,1
864000,0,opportunity,CUT,UNSUPPORTED,2,4,3,3,192,0
876000,0,opportunity,CUT,UNSUPPORTED,2,4,3,6,192,0
888000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,6,192,0
888000,0,opportunity,CUT,UNSUPPORTED,2,4,3,1,192,1
900000,0,opportunity,CUT,UNSUPPORTED,2,4,3,4,192,0
912000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,4,192,0
912000,0,opportunity,CUT,UNSUPPORTED,2,4,3,7,192,0
924000,0,opportunity,CUT,UNSUPPORTED,2,4,3,2,192,1
936000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,2,192,1
936000,0,opportunity,CUT,UNSUPPORTED,2,4,3,5,192,0
948000,0,opportunity,CUT,UNSUPPORTED,2,4,3,0,192,1
960000,9,accepted_control,CUT,UNSUPPORTED,5,4,3,0,192,1
960000,0,beat_boundary,TEMPO,UNSUPPORTED,120,4,3,0,192,1
960000,0,rhythm_commit,CUT,UNSUPPORTED,5,5,3,0,192,1
960000,0,opportunity,CUT,UNSUPPORTED,3,5,3,3,192,0
968000,0,opportunity,CUT,UNSUPPORTED,3,5,3,6,192,0
976000,0,opportunity,CUT,UNSUPPORTED,3,5,3,1,192,1
984000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,1,192,1
984000,0,opportunity,CUT,UNSUPPORTED,3,5,3,4,192,0
992000,0,opportunity,CUT,UNSUPPORTED,3,5,3,7,192,0
1000000,0,opportunity,CUT,UNSUPPORTED,3,5,3,2,192,1
1008000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,2,192,1
1008000,0,opportunity,CUT,UNSUPPORTED,3,5,3,5,192,0
1016000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1024000,0,opportunity,CUT,UNSUPPORTED,3,5,3,3,192,0
1032000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,3,192,0
1032000,0,opportunity,CUT,UNSUPPORTED,3,5,3,6,192,0
1040000,0,opportunity,CUT,UNSUPPORTED,3,5,3,1,192,1
1048000,0,opportunity,CUT,UNSUPPORTED,3,5,3,4,192,0
1056000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,4,192,0
1056000,0,opportunity,CUT,UNSUPPORTED,3,5,3,7,192,0
1064000,0,opportunity,CUT,UNSUPPORTED,3,5,3,2,192,1
1072000,0,opportunity,CUT,UNSUPPORTED,3,5,3,5,192,0
1080000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,5,192,0
1080000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1088000,0,opportunity,CUT,UNSUPPORTED,3,5,3,3,192,0
1096000,0,opportunity,CUT,UNSUPPORTED,3,5,3,6,192,0
1104000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,6,192,0
1104000,0,opportunity,CUT,UNSUPPORTED,3,5,3,1,192,1
1112000,0,opportunity,CUT,UNSUPPORTED,3,5,3,4,192,0
1120000,0,opportunity,CUT,UNSUPPORTED,3,5,3,7,192,0
1128000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,7,192,0
1128000,0,opportunity,CUT,UNSUPPORTED,3,5,3,2,192,1
1136000,0,opportunity,CUT,UNSUPPORTED,3,5,3,5,192,0
1144000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1152000,10,accepted_control,CUT,UNSUPPORTED,6,5,3,0,192,1
1152000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,1
1152000,0,rhythm_commit,CUT,UNSUPPORTED,6,6,3,0,192,1
1152000,0,opportunity,CUT,UNSUPPORTED,4,6,3,3,192,0
