sample_index,ingress_sequence,kind,control,action,value,pulse_index,pulse_phase
0,1,accepted_control,PULSE,UNSUPPORTED,0,0,0
0,2,accepted_control,ENERGY,UNSUPPORTED,0.10000000000000001,0,0
96000,3,accepted_control,ENERGY,UNSUPPORTED,0.29999999999999999,0,0
192000,4,accepted_control,ENERGY,UNSUPPORTED,0.5,0,0
288000,5,accepted_control,ENERGY,UNSUPPORTED,0.69999999999999996,0,0
384000,6,accepted_control,ENERGY,UNSUPPORTED,0.90000000000000002,0,0
480000,7,accepted_control,ENERGY,UNSUPPORTED,0.050000000000000003,0,0
960000,8,accepted_control,ENERGY,UNSUPPORTED,0.94999999999999996,0,0
